Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Last Close,Last Yr`s EPS (F0) Before NRI,F1 Consensus Est.,F2 Consensus Est.
Tutor Perini,TPC,2212.45,NYSE,12,Construction,Building Products - Heavy Construction,41.98,-3.13,1.75,3.09
Techprecision,TPCS,31.79,NSDQ,3,Industrial Products,Metal Products - Procurement and Fabrication,3.26,-0.81,,
Trio Petroleum Corp.,TPET,10.61,AMEX,10,Oils-Energy,Oil and Gas - Exploration and Production - United States,1.41,-4.32,,
TPG Inc.,TPG,18452.48,NSDQ,12,Finance,Financial - Investment Management,49.93,2.05,2.03,2.87
Tri Pointe Homes,TPH,2710.13,NYSE,12,Construction,Building Products - Home Builders,29.89,4.83,2.95,3.08
Trinity Place,TPHS,2.98,OTC,12,Finance,Real Estate - Operations,0.045,0.09,,
TPI Composites,TPIC,59.84,NSDQ,12,Industrial Products,Industrial Services,1.23,-3.96,-2.16,-0.52
Texas Pacific Land,TPL,24820.33,NYSE,12,Oils-Energy,Alternative Energy - Other,1079.74,19.72,,
Tapestry,TPR,17495.82,NYSE,6,Retail-Wholesale,Retail - Apparel and Shoes,84.24,4.29,5.05,5.43
Travis Perkins,TPRKY,1755.33,OTC,12,Retail-Wholesale,Building Products - Retail,8.26,0.47,0.45,0.6
Tempest Therapeutics,TPST,25.41,NSDQ,12,Medical,Medical - Drugs,6.9,-19.51,-11.59,-16.02
TriplePoint Venture Growth BDC,TPVG,270.77,NYSE,12,Finance,Financial - SBIC & Commercial Industry,6.73,1.4,1.2,1.14
Tootsie Roll Industries,TR,2469.14,NYSE,12,Consumer Staples,Food - Confectionery,33.83,1.18,,
ReposiTrak Inc.,TRAK,370.46,NYSE,6,Computer and Technology,Internet - Software,20.27,0.29,,
"Traws Pharma, Inc.",TRAW,9.18,NSDQ,12,Medical,Medical - Drugs,1.65,-35.21,,
Tejon Ranch Co,TRC,442.73,NYSE,12,Finance,Real Estate - Operations,16.47,0.1,0.09,
SecureAlert,TRCK,1.98,OTC,9,Computer and Technology,Computers - IT Services,0.1672,0.45,,
Entrada Therapeutics,TRDA,266.81,NSDQ,12,Medical,Medical - Biomedical and Genetics,7.03,1.68,-3.18,-4.17
LendingTree,TREE,468.45,NSDQ,12,Finance,Financial - Mortgage & Related Services,34.61,3.19,4.59,4.43
Trex,TREX,5640.14,NYSE,12,Construction,Building Products - Wood,52.6,2.09,2.2,2.49
Targa Resources,TRGP,36730.9,NYSE,12,Oils-Energy,Oil and Gas - Refining and Marketing - Master Limited Partnerships,169.32,5.74,7.78,9.77
Thomson Reuters,TRI,88275.76,NSDQ,12,Business Services,Business - Services,195.96,3.77,3.93,4.32
Trinity Biotech,TRIB,10.33,NSDQ,12,Medical,Medical - Products,0.5724,-1.47,-1.77,-1.09
Trinity Capital,TRIN,924.51,NSDQ,12,Finance,Financial - SBIC & Commercial Industry,14.3,2.11,2.09,2.08
TripAdvisor,TRIP,1849.16,NSDQ,12,Retail-Wholesale,Internet - Commerce,13.04,1.3,1.45,1.71
Trimble,TRMB,17106.68,NSDQ,12,Industrial Products,Manufacturing - General Industrial ,71.7,2.85,2.9,3.28
TORM,TRMD,1804.8,NSDQ,12,Transportation,Transportation - Shipping,19.2,6.36,2.74,3.65
Trustmark,TRMK,2048.98,NSDQ,12,Finance,Banks - Southeast,33.88,3.04,3.47,3.61
"Tourmaline Bio, Inc.",TRML,432.29,NSDQ,12,Medical,Medical - Drugs,16.83,-2.89,-3.41,-4.21
Tourmaline Oil Corp.,TRMLF,18799.65,OTC,12,Oils-Energy,Oil and Gas - Exploration and Production - Canadian,48.61,2.56,3.62,4.71
Trinity Industries,TRN,2141.52,NYSE,12,Transportation,Transportation - Equipment and Leasing,26.24,1.82,1.5,
,TRNLY,27.3,OTC,12,Finance,Financial - Miscellaneous Services,1.25,-0.47,,
Terreno Realty,TRNO,6010.36,NYSE,12,Finance,REIT and Equity Trust - Other,58.17,2.42,2.61,2.8
Interactive Strength Inc.,TRNR,7.16,NSDQ,12,Consumer Discretionary,Leisure and Recreation Services,0.7107,-18120,,
Transcat,TRNS,755.57,NSDQ,3,Computer and Technology,Instruments - Control,81.09,2.29,1.77,2.24
TROOPS,TROO,94.31,NSDQ,12,Conglomerates,Diversified Operations,0.8382,-0.13,,
T. Rowe Price,TROW,20299.93,NSDQ,12,Finance,Financial - Investment Management,92.14,9.33,8.26,8.55
Tronox,TROX,871.54,NYSE,12,Basic Materials,Chemical - Diversified ,5.5,-0.08,0.24,0.77
TC Energy,TRP,49642.2,NYSE,12,Oils-Energy,Alternative Energy - Other,47.75,3.12,2.6,2.85
TriMas,TRS,1106.54,NSDQ,12,Industrial Products,Metal Products - Procurement and Fabrication,27.22,1.65,1.81,2.1
TrustCo Bank Corp NY,TRST,584.48,NSDQ,12,Finance,Banks - Northeast,30.73,2.57,,
TrioTech International,TRT,22.99,AMEX,6,Computer and Technology,Electronics - Measuring Instruments,5.33,0.24,,
TPG RE Finance Trust,TRTX,632.47,NYSE,12,Finance,Real Estate - Operations,7.92,0.96,0.97,1.07
TransUnion,TRU,16550.33,NYSE,12,Business Services,Business - Information Services,84.83,3.91,4.09,4.75
TrueCar,TRUE,143.79,NSDQ,12,Computer and Technology,Internet - Services,1.64,-0.14,-0.19,-0.12
"TruGolf Holdings, Inc.",TRUG,5.42,NSDQ,12,Computer and Technology,Computer - Integrated Systems,0.1309,-0.76,-0.1,
Terumo,TRUMY,26605.66,OTC,3,Medical,Medical - Products,17.97,0.52,0.8,0.9
Trupanion,TRUP,2340.7,NSDQ,12,Finance,Insurance - Accident and Health,54.71,-0.23,0.07,0.37
Truxton,TRUX,226.9,OTC,12,Finance,Banks - Southeast,78.75,6.34,,
The Travelers Companies,TRV,59830.82,NYSE,12,Finance,Insurance - Property and Casualty,264.9,21.58,18.39,24.05
