Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Last Close,Last Yr`s EPS (F0) Before NRI,F1 Consensus Est.,F2 Consensus Est.
"Astronics","ATRO","1339.42","NSDQ","12","Aerospace","Aerospace - Defense Equipment","37.83","1.09","1.6","2.12"
"ATS Corporation","ATS","2690.35","NYSE","3","Industrial Products","Manufacturing - General Industrial ","27.55","1.06","1.27","1.64"
"Altice USA","ATUS","1101.33","NYSE","12","Computer and Technology","Communication - Components","2.35","-.22","-.36","-.11"
"Addentax Group Corp.","ATXG","6.79","NSDQ","3","Conglomerates","Diversified Operations",".58","-.85","",""
"Avenue Therapeutics","ATXI","1.79","OTC","12","Medical","Medical - Drugs",".563","-15.79","",""
"Astria Therapeutics","ATXS","368.52","NSDQ","12","Medical","Medical - Biomedical and Genetics","6.53","-1.68","-2.09","-2.25"
"aTyr Pharma","ATYR","524.23","NSDQ","12","Medical","Medical - Biomedical and Genetics","5.35","-.86","-.7","-.7"
"AngloGold Ashanti PLC","AU","23169.09","NYSE","12","Basic Materials","Mining - Gold","55.2","2.21","4.96","4.61"
"Atlantic Union Bankshares","AUB","5060.57","NYSE","12","Finance","Banks - Northeast","35.51","2.74","3.11","3.83"
"Auburn National Bancorporation","AUBN","87.17","NSDQ","12","Finance","Banks - Southeast","24.95","1.83","",""
"AudioCodes","AUDC","268.93","NSDQ","12","Computer and Technology","Communication - Components","9.48",".87",".52",".58"
"Aura Minerals Inc.","AUGO","2348.34","NSDQ","12","Basic Materials","Mining - Miscellaneous","28.42","1.13","3.13","4.95"
"AUTHID INC","AUID","60.7","NSDQ","12","Computer and Technology","Internet - Software","4.515","-1.4","",""
"Golden Minerals","AUMN","3.59","OTC","12","Basic Materials","Mining - Miscellaneous",".2387","-.31","",""
"Auna S.A.","AUNA","465.54","NYSE","12","Medical","Medical Services","6.29",".53",".76",".93"
"AU Optronics","AUOTY","3634.11","OTC","12","Computer and Technology","Electronics - Miscellaneous Components","4.72","-.76","-.18",""
"Aurinia Pharmaceuticals","AUPH","1590.08","NSDQ","12","Medical","Medical - Drugs","12.08",".04",".64",".76"
"Reinvent Technology Partners Y","AUR","10647.57","NSDQ","12","Business Services","Technology Services","5.77","-.46","-.48","-.47"
"Aura Biosciences","AURA","399.43","NSDQ","12","Medical","Medical - Biomedical and Genetics","6.43","-1.75","-2.1","-2.03"
"Austin Gold Corp.","AUST","21.83","AMEX","12","Basic Materials","Mining - Gold","1.645","-.23","",""
"Autolus Therapeutics","AUTL","417.84","NSDQ","12","Medical","Medical - Biomedical and Genetics","1.57","-.86","-.91","-.64"
"Auddia","AUUD","2.67","NSDQ","12","Business Services","Technology Services","2.33","-53.57","",""
"Avista","AVA","2964.6","NYSE","12","Utilities","Utility - Electric Power","36.55","2.29","2.6","2.74"
"Aveanna Healthcare","AVAH","1637.75","NSDQ","12","Medical","Medical - Outpatient and Home Healthcare","7.84",".06",".41",".48"
"Grupo Aval Acciones y Valores","AVAL","3988.9","NYSE","12","Finance","Financial - Investment Management","3.36",".21",".39",".47"
"AeroVironment","AVAV","12429.63","NSDQ","4","Aerospace","Aerospace - Defense Equipment","248.93","3.28","3.23","4.55"
"AvalonBay Communities","AVB","27709.16","NYSE","12","Finance","REIT and Equity Trust - Residential","194.61","11.01","11.4","11.98"
"Avidia Bancorp, Inc.","AVBC","312.39","NYSE","12","Finance","Banks - Northeast","15.56","",".13","1.11"
"Avidbank Holdings","AVBH","262.84","NSDQ","12","Finance","Banks - West","24.98","2.76","2.84","3.52"
"ArriVent BioPharma, Inc.","AVBP","779.33","NSDQ","12","Medical","Medical - Biomedical and Genetics","19.21","-2.55","-4.08","-3.58"
"American Vanguard","AVD","149.55","NYSE","12","Basic Materials","Chemical - Specialty","5.26","-2.11","",""
"Avadel Pharmaceuticals","AVDL","1419.57","NSDQ","12","Medical","Medical - Drugs","14.62","-.51",".26",".88"
"AvidXchange","AVDX","2062.45","NSDQ","12","Computer and Technology","Internet - Software","9.93",".26",".26",".34"
"Broadcom","AVGO","1451726.38","NSDQ","10","Computer and Technology","Electronics - Semiconductors","308.65","4.87","6.63","8.28"
"Advanced Info Service","AVIFY","23940.7","OTC","12","Computer and Technology","Wireless Non-US ","8.05",".33","",""
"Atea Pharmaceuticals","AVIR","275.37","NSDQ","12","Medical","Medical - Biomedical and Genetics","3.47","-2","-1.79","-1.79"
"Avalon Rare Metals","AVLNF","19.26","OTC","8","Basic Materials","Mining - Miscellaneous",".0302","0","",""
"Avanos Medical","AVNS","550.8","NYSE","12","Medical","Medical - Instruments","11.87","1.35",".92","1.16"
"Avient","AVNT","3408.05","NYSE","12","Basic Materials","Chemical - Diversified ","37.23","2.66","2.81","3.18"
"Aviat Networks","AVNW","296.1","NSDQ","6","Computer and Technology","Wireless Equipment","23.25","3.15","2.56",""
"Mission Produce","AVO","893.32","NSDQ","10","Consumer Staples","Agriculture - Operations","12.65",".74",".59",".47"
"AvePoint","AVPT","3412.02","NSDQ","12","Computer and Technology","Internet - Software","16.1",".27",".26",".36"
"Anteris Technologies Global Corp.","AVR","129.82","NSDQ","12","Medical","Medical - Instruments","3.6","-3.68","-2.16","-1.71"
"Avnet","AVT","4575.43","NSDQ","6","Computer and Technology","Electronics - Parts Distribution","54.82","3.44","4.61","6.68"
"Avantor","AVTR","9005.77","NYSE","12","Medical","Medical Services","13.21",".99",".96","1.04"
"Avalo Therapeutics","AVTX","122.84","NSDQ","12","Medical","Medical - Drugs","9.34","-20.91","-5.8","-5.49"
"Aviva","AVVIY","28168.91","OTC","12","Finance","Insurance - Life Insurance","18.4288","1.23","1.41","1.54"
"Anavex Life Sciences","AVXL","791.94","NSDQ","9","Medical","Medical - Biomedical and Genetics","9.22","-.52","-.56","-.49"
